"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J2";"PinHeader_1x03_P2.54mm_Vertical";1;"CAM2";;;
2;"U2";"PinHeader_1x03_P2.54mm_Vertical";1;"~";;;
3;"U6";"Adafruit MicroSD Breakout";1;"~";;;
4;"U1";"BN-220";1;"~";;;
5;"R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"1K";;;
6;"MainBT1";"PinHeader_1x02_P2.54mm_Vertical";1;"Battery_Cell";;;
7;"D2,D1";"D_DO-41_SOD81_P7.62mm_Horizontal";2;"1N5817";;;
8;"SmallM3,BigM1,SmallM2,SmallM1";"PinHeader_1x03_P2.54mm_Vertical";4;"Motor_Servo";;;
9;"U9";"LM2596 Voltage Regulator board";1;"~";;;
10;"J1";"PinHeader_1x03_P2.54mm_Vertical";1;"CAM1";;;
11;"U5";"RPi_Pico_SMD_TH";1;"Pico";;;
12;"CellBT1";"BatteryHolder_Keystone_103_1x20mm";1;"Battery_Cell";;;
13;"U3";"DIP-8_W7.62mm";1;"DS1302+";;;
14;"U4";"XBee S2C";1;"~";;;
15;"Y1";"Crystal_C38-LF_D3.0mm_L8.0mm_Vertical";1;"Crystal";;;
16;"R2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"5K6";;;
17;"R4";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"2K";;;
18;"SW1";"SW_E-Switch_EG1271_SPDT";1;"SW_SPDT";;;
19;"U7";"Adafruit BMP388 Blue";1;"~";;;
20;"R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"10K";;;
21;"U8";"MPU6050 Module";1;"~";;;
